ACRS Report Type,Date and Time,Route Type,Road Name,Municipality,Collision Type,Weather,Surface Condition,Light,Traffic Control,Driver At Fault,Injury Severity,Driver Distracted By,Vehicle Body Type,Vehicle Movement,Vehicle Continuing Dir,Vehicle Going Dir,Speed Limit,Vehicle Year,Vehicle Make,Wind Speed (MPH),TMP10-DK ,Relative Humidity (%),Rain (Inches)
Injury Crash,01-03-2022 03:00,Maryland (State),FREDERICK RD,GAITHERSBURG,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,VAN,ENTERING TRAFFIC LANE,East,East,30,2005,CHEVROLET,2.6,42.5,36.9,0
Property Damage Crash,01-03-2022 03:00,Maryland (State),MONTGOMERY AVE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,East,East,25,2019,HONDA,3.4,36.9,27.2,0
Property Damage Crash,01-03-2022 05:34,,,,STRAIGHT MOVEMENT ANGLE,CLEAR,,DARK LIGHTS ON,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,POLICE VEHICLE/NON EMERGENCY,PARKING,North,East,0,2015,NISSAN,1.6,35.1,33.2,0
Injury Crash,01-03-2022 05:34,County,SHADY GROVE RD,N/A,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,Yes,NO APPARENT INJURY,UNKNOWN,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,North,North,45,2004,FORD,1,38.9,24,0
Property Damage Crash,01-03-2022 07:56,Interstate (State),EISENHOWER MEMORIAL HWY,N/A,SAME DIR REAR END,SEVERE WINDS,ICE,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,South,South,55,1999,TOYOTA,6.2,40.8,36,0
Property Damage Crash,01-03-2022 08:00,Maryland (State),GEORGIA AVE,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,SCHOOL BUS,STOPPED IN TRAFFIC LANE,North,North,35,2015,FRHT,3.9,59.5,57.2,0
Injury Crash,01-03-2022 08:45,Maryland (State),GEORGIA AVE,N/A,SINGLE VEHICLE,CLEAR,DRY,DARK LIGHTS ON,NO CONTROLS,Yes,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,50,2012,MERZ,9.4,42.5,37.6,0.02
Injury Crash,01-03-2022 08:45,Maryland (State),GEORGIA AVE,N/A,STRAIGHT MOVEMENT ANGLE,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,No,SUSPECTED MINOR INJURY,NOT DISTRACTED,PASSENGER CAR,MOVING CONSTANT SPEED,West,West,35,2016,HONDA,9.6,40.4,26.8,0
Property Damage Crash,01-03-2022 08:55,Maryland (State),LAYHILL RD,N/A,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,Yes,NO APPARENT INJURY,LOOKED BUT DID NOT SEE,PASSENGER CAR,MOVING CONSTANT SPEED,North,North,40,2022,CHEV,0,0,0,0
Property Damage Crash,01-03-2022 08:55,Maryland (State),UNIVERSITY BLVD E,N/A,SAME DIR REAR END,N/A,N/A,DARK LIGHTS ON,N/A,Yes,NO APPARENT INJURY,NOT DISTRACTED,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,East,East,30,2006,TOYOTA,9.5,301,25.7,0
Property Damage Crash,01-03-2022 09:00,County,WELLER RD,N/A,SAME DIRECTION SIDESWIPE,CLEAR,DRY,DAYLIGHT,NO CONTROLS,No,NO APPARENT INJURY,NOT DISTRACTED,PASSENGER CAR,PARKED,,,30,2009,SCION,1.7,40,36.5,0
